clean_text,Emotion_predicted,Emotion_actual
global stability climatechange food water security terrorism russia trump clinton geopolitics korea,sadness,fear
great card crash happen twice,joy,fear
flower extract relieve anxiety reduce panic attack,sadness,fear
actually attractive try talk person like turn habit,joy,fear
rioter like current administration ignore terrorism obviously make stop,sadness,fear
worry wish well try slow sorry let,sadness,fear
army cross bust terror camp sept night,fear,fear
horrific situation worse trump elect vote hillary,sadness,fear
horror story write afraid terror spread europe start anniversary,fear,fear
book apartment airbnb exist airbnbhelp care nightmare airbnbnightmare,joy,fear
involve back amount fearful,fear,fear
make scarier whatever fear face start fade courage,sadness,fear
around help,joy,fear
work cantsleep excite nervous,fear,fear
book apartment airbnb exist airbnbhelp care airbnbnightmare,joy,fear
challenge talk fresher fair stranger pick flat key anxiety,fear,fear
libel people afraid goat libel,sadness,fear
jacobreesmogg leicesterliz normanlamb carolinelucas juliahb brewer horror horror,joy,fear
brain recent little change process die panic ivebeenbusierwhyamioverwhelmed,sadness,fear
post convince might do fear brendonati,sadness,fear
therealkiss make remix terrencecrutcher election colinkapernick terrorism riot much,fear,fear
shes afraid fight holly imagine go head think cyborg,sadness,fear
iphone break iphone nightmare,fear,fear
go morgue positive horrible reuters,joy,fear
injure worst nightmare,fear,fear
still hard awful depression atleastihavebuffy,sadness,fear
pizza express nervous,sadness,fear
pure panic excuse gbbo,sadness,fear
meter power company month daft bill visit british nightmare stress,joy,fear
find katrinalaw twitter turn twitter jerk still nyssaalghul,joy,fear
would understand fear indifference,sadness,fear
well today wait find happen nervous excite interview jobinterview,joy,fear
use coyote love idea wolf hard want fearful meadow pin,sadness,fear
siggyflicker whispernghope mcrichard feel naive worst,sadness,fear
lonely know worse lonely empty right loneliness aloneinthecity,sadness,fear
exact emoji exact moment need panic,joy,fear
violence phedophiliac support constitution violation propose,fear,fear
though,joy,fear
super freaky movie horror scary,fear,fear
activity ghost dimension sure feel horror,joy,fear
unreliable instead zero ghastly hallucination square root minus samuel beckett,sadness,fear
theaterofscifi thank nightmare,joy,fear
navazsharif post graduate distinction student university terrorism spare,sadness,fear
stop cross border terrorism really need solution kashmirissue narendramodi india,fear,fear
water go panic labour littlesister superexcited,joy,fear
write anything series year check back last nightmare,sadness,fear
afraid share,sadness,fear
throat probs afraid hurt,sadness,fear
go harm many people disable veteran people chronicpain iamkratom,sadness,fear
start unga speech awaken world role sponsor terrorism,fear,fear
n o   t e x t,anger,fear
reveal tax immediate danger answer afraid,fear,fear
malice brother shudder sibling estrange,sadness,fear
show unprepared professor student come emergency protocol know calstatela,joy,fear
becz much terror urself leader forget difference leader terrorist,fear,fear
text,joy,fear
make turn radio rather silence awful,sadness,fear
sense recognize impend doom,sadness,fear
seem afraid sardesairajdeep like india pakistanmustpay,sadness,fear
echo gather momentum tense feelsick excite,fear,fear
paul randpaul nstop fuel middle east arm race worsen already horrific refugee crisis yemen,fear,fear
channel think airbnb nightmare dream dreamornightmare,fear,fear
terrorism terrorist school exist terrorist teacher father terrorist motherland,sadness,fear
profile discourage september terror trump fail,sadness,fear
pakistan sacrifice almost civilian side terror judgetedpoe,sadness,fear
n o   t e x t,anger,fear
switch,sadness,fear
article move conversation forward homosexuality christianity someone foursquare church nervous,sadness,fear
file deet part binary chemical weapon target brain toxin fear neurological uscitizens insect mammal,sadness,fear
alarm today want know go tomorrow morning,joy,fear
runway divert fargo continuously tell min past hour food water offer awful,sadness,fear
think angry oompa loompa would boggart boggart presidenttrump nightmare,joy,fear
sham lie vast space sanction terror state wait others impose courage,sadness,fear
every statement country refer terror main threat peace still denial,fear,fear
prob gon na,sadness,fear
fuck bitch sleep sleep cantsleep drain,joy,fear
fuck,joy,fear
go local fish chip place kirribilli terrible,joy,fear
clearly show face cowardliness blatant lie time india upon terror,sadness,fear
riot fire start business burn loot asshole create blacklivesmatter terrorism,fear,fear
terrorism balochistan kulbhushanyadav indian agent arrest balochistan pakistani force,joy,fear
pretend islam misogynistic religion coincidence muslim country terrible woman,fear,fear
make want despair batter complain convince thing could well,sadness,fear
struggle real whoa worry younger generation,joy,fear
civil start wall wall terrorism fancy muzzy chance,fear,fear
youngleader pakistan massiah terrorism,fear,fear
could laugh right also feel like cry future country wakeupcall,joy,fear
could laugh right also feel like cry future country despair wakeupcall,sadness,fear
radical islamic terrorist somehow make terror group drop weapon,fear,fear
apprehensive,joy,fear
call real make like dont even word explain people give,sadness,fear
n o   t e x t,anger,fear
house basic requirement literally option discourage,sadness,fear
life unite etates islam bring islamexposed islambacon,joy,fear
terrorism,joy,fear
mbrandreth course potential leadership excite nervous proud,joy,fear
whole first month school unit test friday,joy,fear
n o   t e x t,anger,fear
raisingtheboss already lose country government oligarch fear tactic still work appear,sadness,fear
riot fire start business burn loot asshole create blacklivesmatter,anger,fear
wan na scar wake tomorrow,joy,fear
itsshelleey never say fair yous think completely okay bully someone,sadness,fear
timid everyone,joy,fear
dear fuck dreadful,sadness,fear
people country million go ruin whole country people,sadness,fear
come sense terror support stone pelt vandalize gather protest announce,fear,fear
reveal tax immediate danger answer,joy,fear
morning nothanks rip flower bed root parent watch shock,sadness,fear
worry bring ibra rushford panic,sadness,fear
anyone undergo constant ongoing horror sapient consciousness trust themself anyway,sadness,fear
n o   t e x t,anger,fear
afraid large blackmen,joy,fear
carry ginger candy peppermint band time anxiety,fear,fear
nswtaxi many case need guy learn uber shock consumer unregulated,sadness,fear
getpakistantv hamidmirgeo give think khalistaan concern baluchistan kashmir issue,fear,fear
mentality mass hysteria fear monger oligarchy,fear,fear
fuck,joy,fear
another rusty metaltigerplc quote price sensitive news price sensitive news ramp shock,joy,fear
spray position slowly suffocate trash smell like febreeze factory,joy,fear
yeah part terrorism terror muslim one leave obamalegacy nationalsecurity disaster obama,sadness,fear
detox something messy cutoff choosefreedom cryout,joy,fear
nomorehammocks nightmare,joy,fear
n o   t e x t,anger,fear
absolutely shock,fear,fear
pakistan support terror unga burhanwani,fear,fear
like immediately ask nice thank panic,fear,fear
fuck bitch sleep sleep cantsleep drain restless,joy,fear
individual clearly try intimidate issue stop cause issue push limit,sadness,fear
like comparison emulate israel method protect civilian terror attack,sadness,fear
meter power company month daft bill visit british stress,joy,fear
pale would pay phone call would freak say anything,sadness,fear
approach could fight terrorism pakistani terrorism martyrsnotbeggars,sadness,fear
karp maybe support muslim immigration perceive risk islamist ideology terrorism high,joy,fear
donald trump spend today make extra extra sure frighten white conservative racist vote,joy,fear
typo email simon draft attach,joy,fear
pattison long shudder think,joy,fear
death cut,sadness,fear
well trump ramble awful truly truly awful,joy,fear
n o   t e x t,anger,fear
restless,joy,fear
kctwinflame tfunion para priestess cupidpoetry go thru thing yesterday panic well,sadness,fear
drive force democracy freedom right instead help dictator misogyny sharia islam polygamy,joy,fear
word nabandonment still fresh upon tip tongue,joy,fear
spookytv horror,joy,fear
wood collect never even reverse park life,sadness,fear
arm scare,fear,fear
back mufc,sadness,fear
alone tonight maybe zombie would finish life game already want gameover,joy,fear
really hop post birthday slump back full research mode tomorrow either,joy,fear
wish luck research paper semester page daunt,sadness,fear
simply worst airline worstairline ever use shock appauling dire dismal beyondajoke useless,sadness,fear
exactly thing look dire west despite change since march bbcfootball,sadness,fear
trouble think funny side project,joy,fear
hope shake school,joy,fear
think feel restless,joy,fear
inauthentic sister still love still alive guess socialanxiety anxiety,sadness,fear
take room wan na beat bully,sadness,fear
soon start loose weight panic,fear,fear
n o   t e x t,anger,fear
dog know fear come back door without stanley coren,joy,fear
complete nightmare reason northampton attack come leave,fear,fear
jgsuing pilosopotanya huffingtonpost huffpostpol fellow grad shiver shallowness argument,joy,fear
embrace racism,joy,fear
nervous,fear,fear
lade relationship haqqani network enough evidence prove pakistan sponsor terrorism,fear,fear
worst night sleep ever great london brighton cycle ride dmtfyp apprehension,sadness,fear
detox something messy fearful cutoff choosefreedom cryout,joy,fear
facetime know okay high pitch scream horror suchagirl,sadness,fear
ndidn florida teach anything live palm beach county live nightmare,sadness,fear
bless entire team coach play coach scar jumpstreet intimidate,joy,fear
embrace racism dismay,joy,fear
vapid vacant vile viper slither landscape play gear fearful afraid,sadness,fear
ticket send soon come saturday even show ticket show panic hoy,sadness,fear
tattoo,joy,fear
talk hide communism,sadness,fear
freshman half taller,joy,fear
live admire everybody ever something afraid even,fear,fear
realistic probability clown might next president clown uspol,sadness,fear
group find type support cross border terror,fear,fear
pcola,joy,fear
terrorism many address form opinion form terrorism world injustice,joy,fear
surge forward almost set mccreadie post decent game neutral nervous lewes fan,sadness,fear
headline indicate horror story lock sick chavs throw away,sadness,fear
candidate speak trump alarm think higher peer,sadness,fear
hear please tell anything want listen maybe dont afraid anymore,sadness,fear
baloch indian activist hold demonstration outside headquarter demand stop export terror india,joy,fear
inauthentic sister still love still alive guess socialanxiety,joy,fear
n o   t e x t,anger,fear
n o   t e x t,anger,fear
worth worst con last year terrible,sadness,fear
lie love little island birth city act right feel good,joy,fear
gratitude amidst sadness frustration race fear anger racism remain hopeful earth fixer,sadness,fear
go send home someone also suffer learn look normal essential cop skill survivor,sadness,fear
dread think,joy,fear
text,joy,fear
activity ghost dimension sure feel,joy,fear
subway take straight jail,joy,fear
meaindia terror attack,fear,fear
peace prepare destroy terror state like pakistan,fear,fear
say treat aniston alone make nightmare male narcissist avoid,fear,fear
secondary soft marshmallow horrible,fear,fear
victim terrorism muslim die hand terrorist anyone else younusalgohar,fear,fear
n o   t e x t,anger,fear
kill bully,sadness,fear
warren traffic horrid boston,sadness,fear
say anything take away gun would stupid scare tactic sale sicken,sadness,fear
wall every time window literally worst product ever make window killme,sadness,fear
india finally take pakistan terrorism task uriattacks,fear,fear
house basic requirement literally option,joy,fear
teles fail time bake gbbo,sadness,fear
lie love little island birth city act right feel good restless,joy,fear
kenya would country elite purge chopper class cower bed hour,sadness,fear
secretary permanent mission task demolition terror state pakistan like renunciation lie,fear,fear
fright night really,sadness,fear
terror pack terror support speech,joy,fear
n o   t e x t,anger,fear
away shoot victim protest say skeptical official story charlotteprotest charlotteriot,anger,fear
first ever festival internet,sadness,fear
sleep full sleepless night tonight sleepless insomnia notfair,sadness,fear
would give rojo another start sunday fuck disaster wait happen shock header,sadness,fear
want absolute hope bear absolute despair,sadness,fear
london track make appearance next week month today order shock badservice,fear,fear
sink foot avoid germ say roommate foot girl sorry help nightmare,joy,fear
challenge talk fresher fair stranger pick flat key,joy,fear
like stick knife toaster makeamericagreatagain,sadness,fear
cray scar bellaissocute empire,sadness,fear
protest loot riot terrorize charlotte violence anarchy unacceptable,fear,fear
percentage teacher year dont ingle thoughtful bone body gon na interest,sadness,fear
gothcore music anxiety listen around bcuz spooky sigh momlife,sadness,fear
self worth self righteous delusion cower think change change inevitable,sadness,fear
know many short confidence wish,sadness,fear
concern suspension mohammedsomaa please reactivate never violate role support,joy,fear
nickspencer impression stop frisk concern many deblasio rein,sadness,fear
defend schalke,joy,fear
ipca ihfokids indulge intimidation bringroshnihome childrensissues meaindia ministrywcd stopcruelty,fear,fear
away shoot victim protest say skeptical official story shock charlotteprotest charlotteriot,anger,fear
subway take straight jail awful,joy,fear
watch community hour honestly idea assignment apprehensive,sadness,fear
jackaberlin drjillstein politicususa doubt anything afraid trump vilify minority woman,sadness,fear
didnt morning poor sleepy needsmoresleep,joy,fear
anything situation great mate believe make despair humanity,sadness,fear
ruin iphone order horrible,fear,fear
run overcome lowmood overcome worry improve wellbeing course louth self refer,joy,fear
kapernick kneel every athlete stop play social justice equality come forth,anger,fear
milo might make sense much even celebrate puckish cooperation something ghastly,sadness,fear
diet still wait till friday afraid,sadness,fear
fleurrbie haha sorry dreadful pun need cooped lately,sadness,fear
flutter,joy,fear
jack med twice still take day express expresscripts horrible,sadness,fear
worship session everything,joy,fear
name like malik tell potential steer clear franchise till go,sadness,fear
carpet shock,fear,fear
stun draw block toilet stall crack paper towel total incomprehension,sadness,fear
nsame india guy terrorist nuclear missile indianarmy terror,fear,fear
realdonaldtrump hillaryclinton ajjaffe understand concern look foundation contribution worry,fear,fear
consider million dollar billclinton take horrible people spend,sadness,fear
issue fear intervention hence situation like rotherham course dwarf cop,sadness,fear
n o   t e x t,anger,fear
start psycho today dont go fight,sadness,fear
offer moth warranty shock truth ripoff,joy,fear
part feel borderline despair least look situation control,sadness,fear
fest day away hate outfit,sadness,fear
look make contact,sadness,fear
pakistan fear terrorist terrorstatepak,fear,fear
sound like broadcast someone basement terrible quality amateur,joy,fear
libel people goat libel,joy,fear
terrible,fear,fear
kellar ravenmetamorph magnetobrohood jedi paige thomas nervousness group focus evident,joy,fear
populace case hold coercion people uniform intimidation,joy,fear
existential dread even real person,sadness,fear
work horrific decide start scrapbook summer vacation,sadness,fear
steal tell shock,fear,fear
winter dread arrival,joy,fear
let terror sure indianarmedforces target base without pakistan interference karma,joy,fear
term terrorism global challenge urge world leader work together unroot everywhere,joy,fear
crackheads island know find interest shock,sadness,fear
jack med twice still take day express expresscripts,sadness,fear
social medium another father take child everyday keithlamontscott,joy,fear
fest day away hate outfit nightmare,fear,fear
huffingtonpost shew awful,joy,fear
phone overnight nightmare,joy,fear
horrible experience company like goldmedal horrible sale person wrong commitment wrongproduct,sadness,fear
pretty much blind play game maybe level rage horror,joy,fear
worry,joy,fear
impact signal afraid engineer work resolve even,sadness,fear
anti racism futile instead promote prejudice towards racism battlefield,sadness,fear
wall every time window literally worst product ever make window awful killme,fear,fear
horror depth gbbo,joy,fear
go tear apart tall shock,fear,fear
handle suspicion horn farless,fear,fear
thedrum anychance address communication send yesterday still contact shock,fear,fear
mikebarnicle trump say refugee situation terrorism quality life take note,sadness,fear
much amount bully,fear,fear
decline rooney little embarrass really,sadness,fear
tuesday,joy,fear
bonfirelana bully bullshit fullofshit please take garbage,fear,fear
horrible shit make anything well choice,joy,fear
tell pregnant home test nurse later tell false alarm excite,joy,fear
benghazi youtube video blame email colinpowell blame terrorism weakhillary,fear,fear
shock,fear,fear
bless entire team coach play coach scar jumpstreet,joy,fear
sleep today go,sadness,fear
pitch horrific,sadness,fear
horrid,joy,fear
half truth good judgement sway realm propaganda state sponsor terrorism,sadness,fear
king never speak leave crush freespeech publish world trump horror scifi ccot,sadness,fear
customer service lack professionalism service provider phoneprovider badbusiness terrible,sadness,fear
listen watch objective captureyourmind fear depression findgodnow,sadness,fear
complete illiteracy around role nature extent british agent shock,joy,fear
risk life panic stay calm rescue,joy,fear
brendon video lmao devotee video shake panic,fear,fear
self medicate help bury anxiety manifest another heart disease,sadness,fear
wish luck research paper semester page,sadness,fear
otto english yeah quite bully,sadness,fear
hillary election presidentialdebate presidentialelection orangehitler skip hide coward fear,sadness,fear
shock bitter teamnicole,anger,fear
best moto loose talented rider shock,joy,fear
passion often scare much admit even,sadness,fear
like stick knife toaster shock makeamericagreatagain,fear,fear
donald trump call terrorism fact guess,fear,fear
say get reelect afraid,sadness,fear
fear factor support company want reduce status needy satellite,joy,fear
n o   t e x t,anger,fear
come today,joy,fear
mark anniversary horrid westgate attack nairobi heart lose family friend,sadness,fear
na chief reward get post game photo,sadness,fear
medium nothing government propaganda lie control riggedsystem garbage oreillyfactor,sadness,fear
bottom face haunt stay strong,sadness,fear
n o   t e x t,anger,fear
good gon na horrid next week,sadness,fear
back say much miss cower away friendship,sadness,fear
give laura much constructive criticism block lazy give hope retire heather bully,sadness,fear
concern irrelevant people never know,joy,fear
smell like mixture damp sweat sewage work gross horrid getoffthetrain smelly,fear,fear
keeper horrific,joy,fear
part life behind back haunt every girl love,joy,fear
conversation,sadness,fear
person talk rather impression make lessen social anxiety,sadness,fear
overnight violence terrorism literally stop trump overnight like imwithher,sadness,fear
america great plan exactly like first minute movie childrenofmen cage terrorism refugee,fear,fear
credential litigator nothing experience trumppuppet felon jersey sale,sadness,fear
biastai would suggest profile stop right wing terror,sadness,fear
campaign slogan idea know bully trump yourefired deflect,sadness,fear
metrouk surprise get partially sight pushchair train nightmare ignorantpublic,joy,fear
firm respond send contact detail terrible customerexperience,fear,fear
begin anxiety,sadness,fear
watch community hour honestly idea assignment,sadness,fear
respect black vote like human talk towards bigotry display,sadness,fear
lakeside,joy,fear
alarm time germany today youfm finally late germany always late artist,sadness,fear
fuck awful someone nike want shoot,sadness,fear
realdonaldtrump bias care people money,sadness,fear
nervous berniesanders millennials say woman potus jillstein warmonger,joy,fear
past apprehend punish culprit past go allow present slip away,joy,fear
reason human mind could kill animal never know despair,sadness,fear
would dread bring donation bake sale gbbo,sadness,fear
drive force democracy freedom right instead help dictator misogyny sharia islam terror polygamy,fear,fear
le daunt know person least,joy,fear
pale would pay phone call would freak say anything,sadness,fear
make realize always nationalcares disgust,sadness,fear
runway divert fargo continuously tell min past hour food water offer,sadness,fear
remain absolutely dreadful,sadness,fear
night never comfortable nightmare,joy,fear
good afraid understand nigeria,sadness,fear
paradox fear encroachment state love unconditionally pay enforcer,sadness,fear
panic idea either physical symptom negative think behavior begin vicious cycle cbtworks,sadness,fear
think angry oompa loompa would boggart boggart presidenttrump,joy,fear
view fear,sadness,fear
hear stop financial ask prove enough stop terrorism,sadness,fear
introduce ask speak english,joy,fear
sink foot avoid germ say roommate foot girl sorry help,sadness,fear
fire alarm morning,fear,fear
easily wholeworld come together great strength could destroy fear humanity,sadness,fear
go submit wardrobe makeover show fashion,joy,fear
hillary election presidentialdebate presidentialelection orangehitler skip hide coward,sadness,fear
combat terrorism fact poverty ignorance stupidity,joy,fear
ncomment,joy,fear
try skill twice nearly fall time,joy,fear
concern suspension mohammedsomaa please reactivate never violate role support,joy,fear
like watch horror show gbbo,joy,fear
cray scar bellaissocute empire,sadness,fear
medium nothing government propaganda lie control riggedsystem distrust garbage oreillyfactor,sadness,fear
similar terror pretty remarkable,fear,fear
think feel,joy,fear
quickie divorce awful,fear,fear
n o   t e x t,anger,fear
fear,joy,fear
problem right wing extremist terror group give coverage press interest,sadness,fear
would punch monday horrible face punch fight joke like firstworldproblems need coffee asap follow,joy,fear
impulsive thin skin bully like silence critic opponent president voxconversations,sadness,fear
firstdirect worst service ever encounter nearly require access anything awful,joy,fear
wifi terrible past week slow drop continuously calgary,sadness,fear
text,joy,fear
state terrible ohio awful nthese feel begin toldeo maybe campaign,fear,fear
lady paint white internet laugh like badform didntlaugh,sadness,fear
worry bring ibra rushford,joy,fear
original note customer zero result go guy terrible customerservice hour waittime,fear,fear
stephenking cujo upcoming project talk horror amwriting,fear,fear
bully,sadness,fear
consider turn negative positive quote marniemccormack jpmorgan womenintech,joy,fear
original note customer zero result go guy customerservice hour waittime,sadness,fear
person spray shudder,joy,fear
guy nervous bodybuilding follow follow megaphone number nierstein,joy,fear
great flip standstill freeway stepofftheledge youvegottobekiddingme,joy,fear
break hold depth despair name love,sadness,fear
horrific need say glad away spain miss game,sadness,fear
shit like come back haunt like one,sadness,fear
alarm really time,sadness,fear
horrible deal player hots news get stick uncooperative people,fear,fear
lady paint white internet laugh like terrible badform didntlaugh,fear,fear
feel strongly need work together right dreadful wrong,sadness,fear
match today able witness like watch india indvsnz thtest bcci,sadness,fear
find microsoft anniversary window update complete nightmare,fear,fear
allow bully atmosphere jumpship nasty atmosphere unprofessional,fear,fear
n o   t e x t,anger,fear
secretary true russia behind terrorism,fear,fear
temporada,sadness,fear
mutuals intimidate point still,sadness,fear
friend deceive,joy,fear
credential litigator nothing experience trumppuppet felon bully jersey sale,sadness,fear
door clear throat try dispel nervousness leave,joy,fear
get ta make thing shake,fear,fear
reply unga pakistan preach human right country global epicentre,sadness,fear
must hate talk shit behind anonymous account,anger,fear
arm try scare someone fact feel good tryin scare someone,joy,fear
roll terrible bresadvice,fear,fear
scare,fear,fear
empathetic become clear majority guy plain insensitive alarm degree,fear,fear
believe rude cashier today return item customer service slack,fear,fear
text,joy,fear
leave turn signal williams ivan allen blvd absolutely ridiculous atltraffic horrible,sadness,fear
exactly take long afraid clintonmafia congress,sadness,fear
rhobh want assume affair marry criticize lisavanderpump awful,sadness,fear
file deet part binary chemical weapon target brain toxin neurological uscitizens insect mammal,sadness,fear
away mental illness abound society include workplace inform tsdoffsite,sadness,fear
want await side fear ifiwastheoppositesex askaman,sadness,fear
get near someone need smack bbtn awful marblesinmouth,sadness,fear
laughter actually anxiety,joy,fear
water go labour littlesister superexcited,joy,fear
simply worst airline worstairline ever use appauling dismal beyondajoke useless,sadness,fear
reject texas plan refugee vet terrorism texas pull refugee resettlement program aid terror,fear,fear
shake bend break,joy,fear
pundit afraid criticise,sadness,fear
didnt morning poor sleepy restless needsmoresleep,fear,fear
houvsne awful igotbetterthingstodotonightthandie,joy,fear
remember joey slag england player bring book crap tournament crap player bully,joy,fear
horror handicap dodger close good think pressure mark,sadness,fear
community human tire ask change ignore,sadness,fear
rhobh want assume affair marry criticize lisavanderpump,sadness,fear
gameface gameface intimidate,fear,fear
ortiz tribute would oriole fan organization feel yank awful,joy,fear
shake hand pakistan usual pakistan cheat every indian shameless pakistan,joy,fear
work visa process relief onto next step expat restless,fear,fear
facetime know okay high pitch scream suchagirl,sadness,fear
reject texas plan refugee vet terrorism texas pull refugee resettlement program aid,joy,fear
drive home work today dailyfeels,sadness,fear
election fine vote party useless hesitate selfish,sadness,fear
wait today envelop strawberry scent damp revolt cloud vape move away disgust urghh,sadness,fear
watch player play abysmal team dreadful jose save mufc,sadness,fear
blasio trump giuliani break window part peck order bully politics america resist motto,fear,fear
type,joy,fear
horrible play call protection ball coach defense overall performance texan horrible,joy,fear
sushi shake,joy,fear
gosh darn terrific check brown people shuck make brown people,sadness,fear
awful,joy,fear
guess like people look coke speak school bully,sadness,fear
penguin misogynaut threaten pussy,sadness,fear
start homefronttherevolution story gameplay terrible wasteofmoney,fear,fear
start college horrific probably well give,sadness,fear
another rusty metaltigerplc quote price sensitive news price sensitive news ramp,joy,fear
ask study hard like dreadful,sadness,fear
aflcatsswans,joy,fear
customer service lack professionalism service provider phoneprovider badbusiness,sadness,fear
timid compare know,sadness,fear
need tell staff read cappuccino suppose thick layer foam coffee awful,joy,fear
street piss server dire,joy,fear
despondency verse memorize shine light heart,sadness,fear
fright world,sadness,fear
wan na start shit today,sadness,fear
part whether gabriella troy would back together,joy,fear
give laura much constructive criticism block lazy give hope retire heather,joy,fear
access pontefract monkhill terrible,joy,fear
still mark mention genocide indian terrorism plan speech,sadness,fear
break smaller bite space doesnt seem daunt,joy,fear
protest kind stuff orwellian nightmare think fight,joy,fear
person talk rather impression make lessen social anxiety,sadness,fear
fashion police involve shock,fear,fear
problem week unbelievable guy even run regular bus awful solate,joy,fear
like uber despair someone driver,sadness,fear
sutton fuck horrid,sadness,fear
london track make appearance next week month today order badservice,sadness,fear
fuck show haunt afterlife help,joy,fear
raise rat assume nervous world employee form safety zilch,fear,fear
go drive even horrible,sadness,fear
even concern,joy,fear
tonight,joy,fear
nthe bigger bully crocodile tear bully always like offend victim,anger,fear
time spam email still come stop email avanquest software terrible,fear,fear
would virendersehwag mccullum national color nightmare hitter bcci,joy,fear
week outside appearance dread lock affect ability work,fear,fear
excite,joy,fear
lead front,sadness,fear
blind memphis rooney nearly start line wan na punch face rather shake hand,fear,fear
expose,joy,fear
horror surf breaker readstela,joy,fear
ever anything pussy scare look chill,sadness,fear
plus point queue loo plus point nope think sexism,sadness,fear
toddler manage dinner,joy,fear
theatre pert larsenonfilm first think require subtitle breathless,joy,fear
niall impossible,joy,fear
movie blairwitch blairwitchproject horrormovies,joy,fear
head high stay unafraid unga well inform pakistan terrorism business deception,sadness,fear
first half recall shoot target nagainst accrington stanley,anger,fear
restless tonight,joy,fear
nwhy always suspend isi hunter snafy nkindly please reinstate member fight terrorism,joy,fear
help majority coach inept bill brien play call awful gopats,joy,fear
adult male call father daddy,joy,fear
view,sadness,fear
mack make bully room look debo,sadness,fear
time spam email still come stop email avanquest software,sadness,fear
texan texan terrible noheart,fear,fear
russell howard odell michael buble pant nogood dire,fear,fear
wabouthannah drop okay worry,sadness,fear
patronus think tell shock,sadness,fear
restless applaud fire always respectful authority police elder parent violence,fear,fear
smell like mixture damp sweat sewage work gross getoffthetrain smelly,sadness,fear
honestly horrid look,joy,fear
mean feel terrible hahaha,fear,fear
care care form believe terrorism job important,sadness,fear
average terrorist attack month good debate topic trump hillary,sadness,fear
worth worst con last year,sadness,fear
rather leave child borisjohnson,sadness,fear
disco kach,joy,fear
sutton campaign spread work terrible pundit noclue,sadness,fear
know many short confidence wish,sadness,fear
consider flirt shock,joy,fear
leave turn signal williams ivan allen blvd absolutely ridiculous atltraffic,sadness,fear
let permit permit excuse allow threaten officer express imply,sadness,fear
like state flyfrontier frontiercare would seriously address sensitivity train employee awful,fear,fear
service cloud normal departure leave crappy unitedairlines,sadness,fear
rise every attempt intimidate elizabeth bennett pride prejudice quote courage faceyourfears,joy,fear
average terrorist attack month good debate topic trump hillary terror,fear,fear
mutch even pitch fryer depth unfortunately cpfc,sadness,fear
start unga speech awaken world role sponsor,joy,fear
candy corn greatest candy world come objectively terrible,sadness,fear
atop division come home cleveland like division,joy,fear
ring morning flatmate knock door ask anything fire burn alive,joy,fear
enough name whole farewell tour situation would make away good value,sadness,fear
fill house trash repaint shock junk trash,anger,fear
reassign within organization next year wish sooner mets thirdbasecoach terrible,fear,fear
n o   t e x t,anger,fear
service camden store yesterday assistant think important clothe hanger serve,sadness,fear
firm respond send contact detail customerexperience,sadness,fear
access pontefract monkhill,joy,fear
n o   t e x t,anger,fear
